"day","s_pace"
2023-09-26,6.8284
2023-09-28,5.9203
2023-09-30,4.573
2023-10-02,6.2632
2023-10-03,5.6356
2023-10-06,5.5183
2023-10-08,5.11
2023-10-11,6.2346
2023-10-13,6.0798
2023-10-21,6.128
2023-11-01,5.9053
2023-11-14,7.9802
2024-02-02,6.8107
2024-02-10,7.9167
2024-02-12,7.204
2024-03-27,7.0343
2024-03-28,9.7788
2024-03-30,6.4518
2024-04-01,7.9849
2024-04-06,8.1459
2024-04-08,6.8774
2024-05-01,8.4042
2024-05-03,7.791
2024-05-07,7.3105
2024-05-09,6.48
2024-05-19,6.8163
2024-05-21,7.0833
2024-05-25,6.5564
2024-05-28,7.2966
2024-05-31,7.1256
2024-06-02,6.9429
2024-06-04,6.7552
2024-06-06,7.189
2024-06-14,6.7257
2024-06-18,6.8302
2024-07-01,6.6903
2024-07-03,6.5869
2024-07-05,6.4537
2024-07-09,6.8651
2024-07-11,6.4115
2024-07-15,6.8173
2024-07-17,6.178
2024-07-29,6.4903
2024-09-01,6.628
2024-09-03,6.6401
2024-09-05,6.4647
2024-12-03,7.2381
2024-12-07,6.9078
2024-12-11,6.1356
2024-12-12,6.8275
2024-12-14,7.4317
2024-12-18,6.9422
2024-12-20,6.8208
2024-12-22,6.5692
2024-12-24,7.3717
2024-12-26,6.9321
2024-12-28,7.3363
2024-12-31,6.6291
2025-01-25,7.1733
2025-01-28,7.1642
2025-01-30,7.1511
2025-02-02,7.4678
2025-02-04,6.3952
2025-02-06,6.7524
2025-02-08,6.9686
2025-02-11,6.354
2025-02-13,6.7916
2025-02-16,7.0297
2025-02-18,6.4767
2025-02-21,6.0023
2025-02-23,6.264
2025-02-25,6.1241
2025-03-06,6.3641
2025-03-19,6.1587
2025-03-22,6.2324
2025-03-24,6.5931
2025-03-26,5.5587
2025-03-28,6.0199
2025-03-30,5.4853
2025-04-04,6.559
2025-04-08,6.1898
2025-04-10,6.7876
2025-04-14,7.4451
2025-04-17,6.2652
2025-04-19,6.6587
2025-04-25,6.3482
2025-04-27,6.4155
2025-05-17,6.34
2025-05-19,7.009
2025-05-28,6.2424
2025-06-02,6.5111
2025-06-05,6.2748
2025-06-09,6.0233
2025-06-13,6.4847
2025-06-15,6.4611
2025-06-17,6.3212
2025-06-18,4.873
2025-06-22,6.5078
2025-06-24,6.2763
2025-06-26,4.7931
2025-06-30,6.2014
2025-07-02,6.6518
2025-07-04,6.5625
2025-07-05,6.4803
2025-07-07,6.554
2025-07-12,6.2718
2025-07-15,6.5071
2025-07-17,6.1132
2025-08-01,6.5429
2025-08-03,5.9905
2025-08-05,6.1709
2025-08-07,5.9934
2025-08-09,5.737
2025-08-11,5.8429
2025-08-13,6.1933
2025-08-16,6.3074
2025-08-25,6.0073
2025-08-27,6.538
2025-08-29,6.8716
2025-08-31,6.2292
2025-09-02,6.2377
2025-09-07,5.7703
2025-09-09,5.8473
2025-09-15,5.8461
2025-09-17,5.7231
2025-09-19,5.5293
2025-09-22,5.4396
2025-09-28,5.503
2025-10-01,5.4422
2025-10-03,5.8534
2025-10-16,5.5727
2025-10-19,5.9275
2025-10-21,5.5682
2025-10-23,5.5362
2025-10-29,5.3397
2025-11-01,5.7895
2025-11-03,5.4802
2025-11-05,5.6437
2025-11-07,5.3846
2025-11-11,5.2854
2025-11-15,5.8133
2025-11-29,6.021
2025-12-02,5.9754
2025-12-10,7.1492
2026-02-12,6.4671
2026-02-16,6.4364
2026-02-18,6.4642
2026-02-20,6.6391
2026-02-22,6.8588
2026-02-24,6.7018
2026-02-26,6.3855
2026-03-03,6.2762
2026-03-05,7.118
2026-03-07,6.5605
2026-03-09,7.1175
2026-03-11,7.5392
2026-03-12,4.9153
2026-03-15,6.9525
2026-03-16,8.1569
2026-03-18,7.1626
2026-03-20,6.9517
2026-03-23,6.9697
2026-03-25,6.6157
2026-03-28,7.6975
2026-03-30,7.7111
2026-04-01,6.5264
2026-04-03,7.4456
2026-04-05,7.2316
2026-04-08,6.6459
2026-04-10,7.1413
2026-04-15,6.8652
2026-04-19,6.4033
2026-04-25,6.6459
2026-04-29,6.8043
2026-05-01,6.2808
2026-05-03,6.4133
2026-05-06,6.9311
2026-05-09,6.0346
2026-05-13,7.0252
2026-05-15,6.9015
2026-05-18,6.3977
2026-05-20,6.7001
2026-05-22,5.5848
2026-05-27,6.843
2026-05-30,7.0262
2026-05-31,6.7434
2026-06-04,6.3073
2026-06-05,6.3541
2026-06-06,6.6151
